UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
Q9QY40	-0.17	0.116	-0.222	0.0095
O08576	0.001	0.011	0.036	0.0105
P61211	-0.148	-0.288	-0.235	-0.3025
Q8VDL4	-0.017	0.035	0.002	0.0675
E9Q236	0.331	0.38	0.167	0.2275
P47746	0.264	0.513	0.097	0.3315
Q91WM3	-0.497	-0.502	-0.373	-0.3495
Q6ZQH8	0.273	0.006	0.175	-0.0155
F7C846	0.209	0.161	0.022	0.0995
Q9WTK3	-0.124	-0.016	0.064	0.0815
Q8BFW4	0.179	-0.013	0.038	-0.0265
Q8CE90	-0.151	-0.227	-0.061	-0.1305
P47743	0.18	0.09	0.072	0.0325
B1AY10	-0.273	-0.258	-0.342	-0.3155
Q8CEC5	0.115	0.149	0.148	0.1235
Q80YS6	0.133	0.096	0.073	0.0765
Q61214	-0.274	-0.268	-0.173	-0.1655
Q9JKK7	-0.089	0.103	-0.111	0.0495
P63028	0.368	0.415	0.34	0.3855
Q9QZB9	0.287	-0.018	0.04	-0.0365
Q640M6	0	0.034	-0.056	-0.0005
Q9Z0L0	1.819	0.923	1.219	0.5105
Q6NS52	0.047	-0.016	0.046	0.0135
Q8BMS4	0.015	0.041	-0.028	0.0105
O35409	0.3	0.131	0.136	0.0515
Q8BJZ4	-0.078	0.015	-0.077	0.0545
P97765	-0.697	-0.461	-0.598	-0.3935
Q8R3Q0	-0.265	-0.106	-0.048	-0.0115
Q9EST4	0.073	-0.112	-0.01	-0.0935
Q7TPD0	-0.006	0.044	0.078	0.2345
Q8K205	-0.069	-0.156	0.023	-0.0455
Q52KI8	-0.416	-0.331	-0.272	-0.1755
Q9D404	0.267	0.066	0.104	-0.1185
Q8BN59	-0.026	0.038	0.033	0.1095
P70662	-0.507	-0.253	-0.45	-0.2265
Q9CWL8	-0.037	-0.027	-0.029	0.0415
Q80TI0-4	0.396	0.182	0.265	0.0545
Q8K0L9	-0.074	-0.031	0.082	0.0895
Q9CR86	0.326	0.273	0.256	0.2095
E9QPY6	0.325	0.104	0.206	-0.1195
P06797	0.177	0.235	0.188	0.2305
B9EK	0.618	0.495	0.321	0.3085
Q8C5N9	0.186	0.229	0.07	0.1845
F7AA26	0.408	0.43	0.268	0.2695
P03930	-0.121	0.03	-0.052	0.0345
Q8BTY1	0.047	-0.077	0.011	0.0345
Q9DB29	0.13	0.067	0.185	0.1365
P51163	0.194	0.288	0.194	0.3355
Q8K1C0	0.182	0.049	0.153	0.0455
P49769	0.037	0.069	0.011	0.0635
Q8BP40	0.226	0.015	0.279	0.0135
G3XA57-2	0.206	0.14	0.202	0.1425
E9PZ26	-0.005	-0.105	-0.095	-0.2015
E9Q3C1	0.014	-0.071	-0.107	-0.0395
Q70FJ1	0.074	0.106	0.052	0.0865
O35445	-0.265	0.042	-0.503	-0.1395
S4R1W5	-0.801	-0.452	-0.891	-0.5305
Q08879	0.511	0.36	0.344	0.2705
Q5BLK4	0.057	0.034	0.044	-0.0155
Q6ZPJ0	0.192	0.14	0.128	0.0555
Q8CH77	0.27	0.264	0.213	0.2185
Q8VD04	0.099	-0.054	-0.018	-0.0725
Q80TR8-2	-0.191	-0.157	-0.042	-0.0465
Q14CH7	0.065	0.159	0.11	0.1825
Q80VJ3	-0.117	0.094	-0.127	0.0955
P62960	-0.058	0.097	0.055	0.2525
P61315	1.176	1.244	1.244	1.3245
Q922Q8	0.218	0.224	0.148	0.1915
Q8BTU1	-0.322	-0.343	-0.288	-0.2695
Q99ME2	0.403	0.145	0.149	-0.0545
P98191	-0.02	-0.011	-0.004	0.0365
E9Q238	0.021	0.22	-0.025	0.1165
O55028	-0.385	-0.154	-0.266	-0.0415
Q8K296	0.067	0.021	0.099	0.0785
Q8BW72	0.189	0.146	0.157	0.1255
Q3TXU5	0.205	0.204	0.078	0.1375
Q64337-2	0.104	0.178	0.065	0.2045
Q9EST5-2	-0.093	0.066	-0.039	0.1095
Q80VE5	0.067	0.06	0.062	0.0395
Q80W22	0.291	0.134	0.199	0.0155
Q8R0G7	0.182	0.13	0.083	0.1105
P62305	0.12	0.013	0.114	0.0495
Q6PAR0	-0.758	-0.52	-0.512	-0.3345
Q149F1	0.206	0.186	0.187	0.1915
Q52KR3	-0.196	-0.088	-0.258	-0.1575
E9QNQ2	0.039	0.012	0.039	-0.0165
Q9EPR4	-0.069	0.032	0.017	0.1035
Q9R1C7	-0.051	-0.008	-0.013	0.0315
Q62074	0.085	0.097	0.08	0.0385
Q921C1	-0.261	-0.087	-0.212	-0.0465
Q8K135-2	0.683	1.066	0.548	0.9565
P61961	0.269	0.188	0.23	0.1455
E9Q226	0.064	0.002	0.132	0.0635
Q3U8Y1	-0.003	-0.012	0.049	-0.0445
P97471	0.024	-0.011	-0.001	-0.1025
Q9Z275	-0.041	-0.048	-0.167	-0.0505
Q9D338	0.127	0.138	0.045	0.1125
Q6ZPR5	0.129	0.125	0.074	0.0265
P17439	0.016	-0.069	-0.049	-0.0805
Q91WF7	0.037	0.061	-0.107	-0.0145
O54950	0.082	0.049	-0.024	-0.0845
P48771	-0.032	0.001	-0.107	-0.0525
Q9R0A1	0.298	-0.011	0.077	-0.0465
Q8BKH7	0.036	-0.088	-0.025	-0.1375
Q9D2P8	-0.277	-0.101	-0.376	-0.2275
A2AQ25	-0.191	-0.138	-0.207	-0.1425
Q6GQW0	0.311	0.259	0.103	0.0495
P97819	0.497	0.498	0.456	0.4685
Q9JIG4-2	0.212	0.293	0.072	0.1495
Q9Z306	0.212	0.198	0.111	0.0985
P97952	0.763	0.71	0.434	0.4585
Q9ERA0	0.134	0.011	0.12	0.0315
Q6PD19	-0.135	-0.173	-0.143	-0.1125
Q8VCL2	0.199	0.144	0.067	0.0635
Q5XJV6	0.023	0.112	0.053	0.0925
A3KMP2	-0.062	-0.206	-0.051	-0.1225
Q78PG9	-0.219	-0.116	0.018	-0.0175
Q9ER67	-0.86	-0.716	-0.642	-0.4185
E9PVE8	-0.053	-0.091	-0.145	-0.1215
A2AN37	-0.111	0.054	-0.029	0.0235
Q8CF93-2	0.12	0.089	0.061	0.1045
E9QQ68	0.326	0.272	0.267	0.1195
O88325	0.17	0.142	0.085	0.0935
O89016	0.04	-0.042	-0.021	-0.0215
Q3UEW6	0.177	0.137	0.107	0.1235
O55057	0.184	0.126	0.039	-0.0115
Q9CQ45	1.604	1.447	1.627	1.5595
Q9WV85	-0.051	0.13	-0.067	0.0535
Q8R4R6	-0.537	-0.401	-0.53	-0.3825
P35831	-0.23	-0.202	-0.088	-0.0525
Q9D967	0.086	0.01	0.099	0.0295
Q91YR9	0.187	0.098	0.099	0.0415
Q80SY4	0.131	-0.029	0.118	-0.0305
P29391	0.148	0.108	0.026	-0.0015
O70546-2	-0.155	-0.113	-0.089	0.0555
Q6A058	0.181	0.201	-0.067	0.0885
Q99J95	-0.146	-0.175	-0.196	-0.1175
Q9CX80	-0.35	-0.047	-0.289	0.0315
Q8R420	0.094	-0.026	0.089	0.0155
Q8CA72	-0.093	-0.128	-0.009	-0.0935
Q8BFX3	-0.494	-0.299	-0.25	-0.2365
Q9D154	0.11	-0.021	0.121	0.0115
B1AWD9	0.231	0.451	0.201	0.3725
G3X9V4	0.266	0.144	0.041	0.0905
Q6A051	0.892	1.062	0.781	1.0035
Q99LC2	-0.324	-0.353	-0.262	-0.2895
Q9WU79	0.195	0.09	0.105	-0.0345
P49817	-0.349	-0.129	-0.205	-0.0885
O09174	0.086	0.031	0.126	0.0365
Q5SS80	-0.49	-0.518	-0.341	-0.3965
Q9D3E6	-0.097	0.007	-0.021	0.0345
Q8R2U0	-0.121	-0.155	-0.073	-0.1405
O35435	0.03	0.114	0.132	0.1335
Q9D2E2	-1.041	-0.983	-0.82	-0.9125
D3YWM8	0.363	-0.183	0.225	-0.3005
P62858	0.172	0.1	0.099	0.0525
Q8BFR4	0.93	0.988	0.756	0.9865
Q8BGU5	0.13	0.054	0.092	-0.0185
Q9JIK9	-0.276	-0.052	-0.313	-0.1015
Q9WTP5	1.546	2.177	1.557	1.8075
P60521	0.111	0.252	0.067	0.2095
Q80YN3	-0.132	0.007	-0.303	-0.1365
Q9CYL5	-0.067	0.045	0.049	0.1145
Q9DB90	-0.2	-0.171	0.072	0.0435
Q61271	0.144	0.079	-0.037	-0.0905
Q91ZN5	-0.177	-0.318	-0.149	-0.2395
O09118	-0.241	-0.154	-0.198	-0.1045
Q61838	0.321	0.346	0.191	0.2305
Q69ZN7	-0.052	0.082	-0.05	0.0395
Q9CQ71	0.17	0.121	0.251	0.2805
Q6RHR9	-0.116	0.002	0.027	-0.0255
Q9D938	0.37	0.348	0.202	0.1345
Q91Z92	-0.357	-0.213	-0.302	-0.1615
Q923X4	0.021	0.077	-0.011	0.1485
Q31125	-0.309	-0.195	-0.131	-0.0035
A2AKG8	-0.59	-0.369	-0.424	-0.2285
Q19AB2	-0.107	0.012	0.007	0.0475
Q9WUU7	-0.154	-0.061	0.023	0.1385
O89051	0.544	0.883	0.559	0.9285
Q6P1Y9	0.093	0.169	0.089	0.2865
Q9QWR8	-0.014	0.087	0.021	0.0425
Q3URE6	-0.546	-0.369	-0.649	-0.2845
Q8VI51	0.59	0.334	0.178	0.0935
Q8CG03	0.367	0.308	0.151	0.0725
Q8K2C8	0.017	-0.027	0.088	0.0015
Q9JMD0	-0.09	-0.051	-0.07	-0.0215
Q9QZD8	0.031	0.011	0.023	-0.0035
Q80X71	-0.839	-0.533	-0.692	-0.3755
Q9QZD4	-0.079	-0.027	-0.135	-0.1155
Q8CIE2	-0.275	-0.18	-0.169	-0.0545
Q9WUN2	-0.372	-0.321	-0.2	-0.2805
O55187	0.053	-0.093	0.049	-0.0855
Q99LJ6	-0.079	-0.006	0.092	0.1625
Q9CPU4	0.028	-0.026	-0.044	-0.1005
P26883	0.171	0.271	0.03	0.0855
Q6ZWM4	-0.204	-0.167	-0.319	-0.2695
Q6NZF1	-0.936	-0.562	-0.657	-0.3185
Q9JMA2	-0.025	-0.104	0.047	0.0005
Q9WUU9	-0.105	0.095	-0.085	0.1265
Q9Z0V8	0.055	0.034	-0.021	-0.0305
Q62245	0.169	-0.193	0.012	-0.2035
Q8BVR6	0.306	0.079	0.129	-0.1145
F8VQ05	-0.1	0.002	0.001	-0.0095
Q61609	-0.26	-0.036	-0.371	-0.0595
Q0PD20	0.437	0.534	0.332	0.4915
Q3UYV9	-0.142	-0.052	-0.009	0.0305
Q8BNU0	0.166	0.156	0.195	0.1715
Q9JIM1	-0.214	-0.235	-0.169	-0.1245
Q5U452	0.304	0.15	0.157	0.0075
Q8R480	-0.053	-0.052	-0.722	-0.6175
Q3UGX3	-0.202	-0.1	-0.22	-0.1245
B1AZA5	-0.689	-0.503	-0.607	-0.3805
Q5SUQ9	0.042	-0.023	-0.17	-0.0985
Q91ZM2-4	0.122	0.239	0.059	0.0135
Q61207	0.868	0.809	0.828	0.8445
Q3UHB8	0.062	0.33	-0.031	0.2265
Q9R1Z8	-0.039	-0.119	-0.051	-0.1095
Q3UHC1	-0.177	-0.072	-0.195	-0.0635
A2AHB8	0.237	0.101	0.12	-0.0195
O08530	0.025	0.102	0.025	0.0565
Q9JJY4	0.407	0.19	0.322	0.3205
Q9QYY8	-0.126	-0.096	0.045	0.0245
Q8VE19	-0.078	-0.104	0.005	-0.0665
Q8VCY8-2	0.247	0.155	0.182	0.0975
P27545	0.054	-0.052	-0.014	-0.0905
P54116	0.011	-0.106	-0.044	-0.0925
P49135	-0.112	-0.198	-0.069	-0.1215
Q8C4Q6	0.118	0.026	0.135	0.0615
Q9CR61	0.15	0.198	0.114	0.1445
D3YZZ4	-0.047	0.003	-0.255	-0.2505
Q6P9J9	0.292	0.111	0.228	0.0715
Q80X80	0.061	0.022	0.05	0.0585
Q8BUY5	0.187	0.058	0.115	-0.0395
Q9JLJ4	-0.623	-0.539	-0.425	-0.2695
Q09200	0.227	0.144	0.209	0.1155
Q6P4T1	0.351	-0.088	0.114	-0.1895
Q9R0N3	-0.355	-0.23	-0.34	-0.2035
Q7TSE6-2	0.041	-0.037	-0.078	-0.0995
Q9JIQ3	0.124	0.304	-0.039	0.1585
Q921T2	0.039	0.235	0.021	0.2135
P98203-3	-1.104	-1.588	0.184	-0.2895
Q920Q8	0.124	0.21	0.125	0.3055
A2AJW4	-0.555	-0.563	-0.485	-0.4735
O35855	-0.246	-0.202	-0.196	-0.1295
Q14CH0	0.353	0.29	0.289	0.2495
Q9CR67	0	0.007	-0.191	-0.1545
P62956	0.211	0.185	0.034	0.0125
Q8R3Y8	-0.154	-0.238	-0.195	-0.3725
Q8C3P7	-0.033	-0.073	0.06	0.0495
Q9CQA9	0.287	0.263	0.279	0.2925
Q8BG40	0	0.045	-0.11	-0.1125
Q505D7	0.013	-0.039	-0.055	-0.1155
Q9JHS4	0.151	0.14	0.127	0.1985
A2ADH1	-0.083	-0.038	-0.06	-0.0845
Q8BFS6	0.168	0.188	0.086	0.1905
Q8VCM3	-0.134	-0.153	-0.032	-0.0615
Q64151	0.391	0.424	0.223	0.2585
P59708	0.052	0.024	0.06	0.0495
Q68FE6	-0.149	-0.21	-0.058	-0.1095
J3QNX5	0.608	0.576	0.426	0.4615
Q00558	-0.081	0.053	-0.065	0.0605
Q9WUC3	2.589	2.95	2.178	2.5505
Q9DCT8	0.113	0.208	0.109	0.1965
Q9QYY0	-0.354	-0.038	-0.219	0.0515
Q810B9	0.835	0.62	0.849	0.4175
D3Z566	0.872	1.559	0.717	1.4195
Q80UY1	-0.854	-0.797	-0.741	-0.6395
Q9CQA1	-0.176	-0.258	-0.239	-0.2865
Q9JHI7	0.13	0.066	0.125	0.0695
Q6P069	-0.058	0.116	-0.134	0.0825
Q5SXY1	0.088	0.074	-0.038	0.0095
Q9WUB4	0.172	0.137	0.159	0.1675
Q8BH10	0.276	0.372	0.212	0.3195
Q6GQV2	0.183	0.104	0.027	-0.0315
Q7TPD2	-0.204	-0.105	-0.158	-0.2575
A0A087WQ44	0.617	0.408	0.34	0.2505
Q8CJ67	-0.045	-0.149	0.068	-0.0185
O35449	0.283	0.214	0.153	0.0965
D3YTS1	0.311	0.233	0.18	0.1095
E9Q7P2	-0.218	-0.22	-0.134	-0.1655
Q8R1X6	-0.103	-0.044	-0.115	-0.0545
Q91W82	-0.117	-0.186	-0.073	-0.1265
Q9JKY0	-0.107	0.041	-0.034	0.1245
Q8BYN3	0.115	0.103	0.035	0.0355
F8VPM7	-0.196	0.047	-0.096	0.1995
Q499X9	0.272	0.126	0.138	0.0265
Q8BHE8	-0.095	0.034	-0.054	0.0635
Q9R0E2	-0.24	-0.03	-0.216	0.0765
P61967	0.146	0.08	0.112	-0.0155
D3Z286	-0.134	-0.124	-0.039	-0.0255
Q91VR7	-0.326	-0.207	-0.305	-0.1815
Q8BWW9	0.423	0.129	0.206	0.0445
Q8BX80	0.332	0.128	0.109	-0.0865
P35762	0.322	0.337	0.098	0.1645
P58742	0.148	0.029	0.063	-0.0785
Q9CWU9	0.001	-0.02	-0.155	-0.0815
Q8R180	0.306	0.342	0.29	0.3105
E9PVM1	0.385	0.295	0.068	0.0905
O54825	-0.622	-0.481	-0.547	-0.3995
Q5GH67	-0.034	-0.107	-0.109	-0.1165
Q9DBC0	-0.228	-0.181	-0.228	-0.1925
Q5ND34	-0.513	-0.354	-0.312	-0.2555
P50428	-0.576	-0.305	-0.503	-0.1835
P50427	0.345	0.107	0.263	0.0875
E9QJV4	-0.394	-0.154	-0.326	-0.0495
Q6DIC9	0.91	1.038	0.662	0.7305
Q8BVY0	0.268	0.116	-0.052	-0.0965
Q5RJH3	1.753	1.85	1.557	1.6965
Q68FH4	0.413	0.166	0.189	-0.0385
Q8K382	0.078	-0.003	0.132	0.0645
Q9D1N9	0.033	0	-0.058	-0.1505
Q9Z1M0	-0.014	0.045	-0.044	0.0475
O89026	2.129	2.149	1.092	1.1235
Q8BMJ3	-0.437	-0.161	-0.252	0.0465
P97950	-0.087	-0.064	-0.092	-0.1135
Q3TDX8	0.131	-0.045	0.079	-0.0555
O08581	0.507	0.272	0.257	0.0655
E9QAE3	0.118	-0.006	0.084	0.0055
Q6PAM0	0.149	-0.001	0.198	0.0315
E9QAQ7	-0.621	-0.44	-0.491	-0.3385
Q9CR70	-0.258	-0.136	-0.344	-0.1905
P17047-2	0.459	0.549	0.362	0.4715
P46414	0.008	0.071	-0.077	0.0815
Q9QWY8	0.113	0.148	0.097	0.1785
P47915	-0.698	-0.454	-0.693	-0.3915
Q5SSM3	0.028	0.155	-0.033	0.1635
Q80U30	-0.272	-0.122	-0.143	-0.0205
Q80XC2	0.363	0.153	0.175	-0.0295
Q99J36	-0.087	0.067	0.075	0.1445
Q65Z40	0.2	0.152	0.214	0.1775
Q5U4D9	0.094	-0.066	-0.073	-0.2305
O55100	-0.439	-0.225	-0.455	-0.2195
Q5SRY7-2	0.118	0.133	0.056	0.0165
Q9D1G2	0.036	-0.151	0.038	-0.0575
E9Q1W3	0.673	0.58	0.453	0.4735
Q8K2R5	-0.695	-0.456	-0.563	-0.2525
Q60989	-0.034	-0.098	-0.078	-0.1315
E9Q6C8	0.06	-0.134	0.003	-0.1035
Q45VK7-2	0.025	-0.085	-0.08	-0.1385
Q9D0M0	0.122	0.078	0.046	0.0345
Q8VEJ9	0.131	0.25	0.027	0.2055
Q564G0	-0.355	-0.1	-0.364	-0.0965
Q76KF0	0.351	0.15	0.276	0.1015
D3YZR2	0.79	1.135	0.563	0.9385
Q6PCN3	0.318	0.099	0.1	0.0195
Q6PD10	-0.207	-0.172	-0.314	-0.2085
Q8CF89	-0.196	-0.024	0.061	0.0905
E9PUR6	-0.174	-0.205	-0.07	-0.0625
Q91WK1	0.007	-0.15	-0.066	-0.2115
Q3TAS6	0.259	0.209	0.16	0.2065
O70274	-0.112	-0.111	-0.069	-0.0275
P61329	-0.217	-0.14	-0.273	-0.2055
Q3TLS3	0.236	0.128	0.123	0.0115
P59672-2	0.001	-0.018	-0.012	-0.0185
Q8BXA1	1.597	1.895	1.624	2.1925
Q9CYN9	0.26	0.249	0.187	0.1245
Q62172	-1.013	-0.566	-0.598	-0.3605
O55091	0.042	0.112	-0.153	-0.0485
Q61239	0.172	0.036	0.148	0.0695
Q5SXC4	-0.184	-0.174	-0.14	-0.1095
Q9Z1K6	-0.01	0.091	-0.003	0.1155
Q99N95	-0.322	-0.176	-0.417	-0.1355
Q8BKR5	0.369	0.168	0.227	0.0775
Q8BVE8-2	-0.399	-0.384	-0.205	-0.1785
Q9R0N8	-0.028	0.142	0.006	0.1315
E9Q8A3	0.68	0.837	0.626	0.8535
Q3U2A8	-0.012	-0.181	0.007	-0.1505
Q9ES89	0.397	0.166	0.263	0.0575
Q6KAR6	0.062	0.212	0.107	0.1785
P23780	0.301	0.201	0.198	0.1015
Q9CR56	0.225	0.156	0.211	0.1775
Q9WVM3	-0.619	-0.375	-0.477	-0.2215
Q8VI75	0.204	0.237	0.139	0.1745
Q8C4C9	-0.534	-0.228	-0.346	-0.0635
Q8BHZ4	0.125	0.084	0.122	0.0905
O55013	0.03	0.279	-0.071	0.0555
E9Q2V5	-0.476	-0.667	-0.36	-0.6685
Q9D7N3	0.139	0.036	0.106	0.0185
K3W4P2	0.242	0.029	0.146	-0.0135
Q9CX30	0.183	-0.027	0.217	0.0335
P97467	0.364	0.157	0.214	-0.0595
Q6PIX5	-0.315	-0.282	-0.34	-0.3275
P29595	0	0.118	0.043	0.2055
Q6PHU5-2	0.449	0.687	0.262	0.5105
Q3UKN6	1.508	1.511	1.348	1.3155
Q8BHA3	0.147	0.095	0.15	0.0455
Q9WVB4	0.397	0.461	0.353	0.4285
D3YY75	0.085	-0.14	0.085	-0.0475
Q9CQ85	0.238	0.058	0.204	0.0475
G5E8Q0	0.49	0.291	0.289	0.0745
Q9R112	-0.103	-0.092	-0.063	-0.0975
Q80VQ0	-0.03	-0.07	-0.073	-0.1115
F6XJP7	-0.202	-0.024	-0.263	0.0505
Q69ZX6	-0.095	-0.169	0.019	0.0225
D3YVV3	-0.185	0.015	-0.084	-0.0765
B1AR51	-0.154	-0.061	-0.155	-0.1075
O54941	-0.472	-0.235	-0.576	-0.2465
P18826	0.38	0.394	0.2	0.2975
Q60949	0.197	-0.25	-0.211	-0.4765
Q8BWQ6	-0.076	-0.044	0.032	0.0285
Q99M31-2	0.239	0.13	0.319	0.1405
O08912	-0.112	-0.117	-0.115	-0.1045
Q8BYB9	0.137	0.22	0.181	0.2135
Q8CJ61	-0.725	-0.398	-0.638	-0.3765
O88974-4	-0.028	-0.168	-0.068	-0.1975
A2RSX9	-0.446	-0.184	-0.503	-0.2285
Q8BGT1	0.792	0.568	0.693	0.4965
E9QPU1	0.641	0.393	-0.013	-0.2835
Q69ZF7	-0.095	-0.098	-0.143	-0.1085
Q9CQE7-2	0.047	0.196	0.215	0.3515
A3KGB4	0.062	0.042	0.024	0.0775
Q6P2B1-2	-0.725	-0.442	-0.702	-0.4075
Q8CJ40	0.248	0.222	-0.018	0.0635
Q62283	0.173	0.277	0.164	0.2745
Q6P5H2	-1.282	-1.534	-0.79	-0.9835
Q69ZP3-3	-0.387	-0.285	-0.332	-0.2375
Q922H1	0.101	0.023	0.02	0.0355
Q9D2V5	0.004	0.01	0.048	0.0595
Q9CRD0	-0.151	0.007	-0.149	-0.0515
Q9Z2X2	-0.038	-0.031	-0.08	-0.0885
Q6V4S5	0.179	0.306	0.322	0.2605
Q8BST6	-0.609	-0.536	-0.447	-0.3615
Q8CHT3	0.022	0.134	-0.044	0.0095
Q9ERE7	-0.836	-0.592	-0.601	-0.4025
Q8BJF9	-0.291	-0.134	-0.185	-0.0635
P46662	0.039	-0.006	0.034	-0.0225
Q9D3B1	-0.296	-0.261	-0.067	-0.1655
P57724	-0.667	-0.373	-0.765	-0.4005
Q9Z1X2-2	-0.357	-0.437	-0.258	-0.3645
Q9QY01	-0.303	-0.196	-0.298	-0.1545
P56387	0.109	0.133	0.017	0.0525
P54103	-0.568	-0.393	-0.332	-0.1805
E9Q634	-0.444	-0.407	-0.387	-0.3695
Q99KU0	0.213	0.093	0.207	-0.0145
E9QN99	0.109	0.129	0.096	0.0995
P70297	-0.047	0.104	-0.064	0.0975
A2AWP8	-0.119	-0.034	-0.08	0.1615
Q5XG73-3	-0.659	-0.323	-0.852	-0.5035
Q9CQW0	0.024	-0.155	-0.016	-0.0385
Q3UQN2	-0.394	-0.214	-0.324	-0.1285
Q3TWL2	-0.297	-0.162	-0.183	-0.0105
Q9CQM5	0.215	0.239	0.241	0.2585
Q8BZ20	-1.207	-1.03	-1.192	-1.0035
Q8C407-2	0.32	0.205	0.276	0.1535
Q80U70	0.18	0.02	0.098	-0.0255
A2RSY6	-0.03	-0.153	0.002	-0.0625
Q8N9S3	-0.372	-0.251	-0.396	-0.2645
Q06138	-0.22	-0.181	-0.271	-0.2035
Q8BTH6	-0.82	-0.764	-0.658	-0.5455
P22907	-0.272	-0.12	-0.09	0.0925
Q9CPS6	0.2	0.22	0.085	0.1565
P59997	-0.028	-0.077	-0.032	-0.1395
Q9D0B0	-0.891	-0.419	-0.813	-0.3895
B2KGF0	0.396	0.319	0.249	0.1595
Q9JK84	-0.736	-0.54	-0.433	-0.2985
Q8K448	0.255	0.144	0.16	0.0375
Q8CG48	-0.225	-0.5	-0.167	-0.3235
P57746	-0.008	0.191	0.009	0.2995
Q8K2Y7	-0.074	-0.007	0.006	0.0415
Q9CWY8	0.286	0.15	0.361	0.2525
Q9JKW0	-0.209	-0.057	-0.276	-0.1135
Q9D8N2	0.157	0.144	0.101	0.1155
Q9D6G9	0.051	0.063	0.057	0.0125
Q3USZ8	0.039	-0.004	-0.055	-0.0865
E9Q3H6	-0.285	-0.242	-0.174	-0.1185
F8VQ28	0.173	0.083	0.138	0.1085
E9Q967	-0.222	-0.173	-0.104	-0.0565
Q9Z0U0	0.092	0.062	0.063	0.0245
Q9D1I6	0.294	0.078	0.168	0.0115
P59235	0.162	0.011	0.13	0.0335
B1AQD9	-1.03	-0.622	-0.881	-0.5425
Q9DBE7	-0.179	-0.169	-0.056	-0.0705
Q99K70	0.028	0.008	0.164	0.0445
Q7TNC6	-0.508	-0.284	-0.288	-0.1135
Q8R0H9	0.094	0.177	0.045	0.1395
Q91WB2	-1.343	-0.86	-0.999	-0.5355
Q8R4G6	0.193	0.083	0.168	0.0685
D3YWX2	0.687	0.745	0.449	0.5245
Q9CR89	0.318	0.085	0.296	0.1025
P62315	-0.017	-0.073	-0.023	-0.0575
Q8BHC9	0.253	0.287	0.229	0.3195
Q99246	-0.194	0.306	-0.043	0.0265
Q6NZN0	-0.113	0.147	-0.112	0.0995
Q8BZ36	0.12	0.027	0.131	0.0195
P07310	0.255	0.442	0.306	0.4725
P58059	0.118	0.049	0.046	0.0115
Q62132	-0.006	0.057	0.041	0.1795
Q91VU6	-0.252	-0.218	-0.329	-0.2095
Q8K2P7	0.53	0.623	0.424	0.5895
P63082	-0.036	-0.236	-0.122	-0.3205
Q9EQG9	0.047	0.007	0.102	0.0725
Q2PZL6	0.278	0.283	-0.016	0.0005
Q7M759	0.16	0.107	0.143	0.0435
Q8VDG3	0.047	-0.035	0.036	-0.0125
Q8C3Q9	0.517	0.238	0.33	0.0745
Q9WTL4	-0.127	-0.536	0.251	-0.3525
P62322	0.529	0.426	0.317	0.2345
Q8R3E3	-0.104	-0.14	0.017	-0.0295
Q8BGS1	0.106	0.041	0.148	0.0855
Q9D1M4	0.199	0.109	0.112	0.0915
P09470	0.691	0.879	0.53	0.7705
Q6NS46	0.166	-0.045	0.085	-0.1225
Q60700	0.05	-0.151	0.041	-0.0225
Q8BG58	0.616	0.5	0.49	0.5435
Q03146	-0.037	0.256	-0.097	0.1625
Q9EQI8	-0.021	0.022	-0.14	-0.1095
Q61315	-0.468	-0.325	-0.498	-0.4055
P97930	-0.203	-0.165	-0.068	-0.0895
Q8R0P4	-0.021	0.025	-0.017	0.0315
P56382	-1.127	-0.814	-1.003	-0.6885
E9Q5L4	-0.271	0.145	-0.281	0.1185
Q3UHQ6	0.133	0.199	0.095	0.1475
P99028	-0.094	0.024	-0.17	-0.0475
Q99KN2	-0.06	0.139	0.026	-0.0735
Q9QYE6	0.556	0.715	0.67	0.7785
Q5DTT2-3	0.024	0.087	-0.048	0.0265
Q8CFE4	0.055	0.036	0.072	0.0905
O08811	0.219	0.106	-0.136	0.1295
Q61210-5	-0.212	-0.105	-0.244	-0.1175
Q9DBM2	0.229	0.09	-0.028	-0.1105
Q62093	-0.335	-0.111	-0.392	-0.2365
Q80U72-3	0.247	0.19	0.199	0.2115
Q9D2W5	-0.615	-0.586	-0.603	-0.4985
Q8K4F5	0.07	0.105	0.032	0.1495
Q9QXY6	0.045	0.209	0.064	0.1635
Q8BL99-6	-0.454	-0.149	-0.459	-0.2915
Q5SW15	-0.003	0.007	-0.029	-0.0075
O88967	0.317	0.428	0.202	0.2695
Q6NVE9	-0.025	-0.069	-0.024	0.0225
P83882	-0.795	-0.63	-0.776	-0.5815
O35682	-0.226	-0.365	-0.321	-0.4155
P13808	0.293	0.343	0.185	0.3625
Q9WU84	0.228	0.252	0.152	0.1875
Q80TQ2-2	-0.043	-0.055	-0.02	0.0285
Q6A0D4	-0.26	-0.014	-0.212	-0.0695
Q3V1N5	0.056	0.173	0.07	0.1985
P03975	-0.026	0.093	-0.18	-0.0675
P97770	0.024	0.068	0.1	0.1065
Q3V1U8	0.152	0.085	0.057	0.1265
Q91YD3	-0.087	0.017	-0.046	0.0255
O09114	0.482	0.245	0.391	0.1345
P70689	0.681	0.455	0.514	0.3365
Q8QZZ7	0.273	0.182	0.232	0.1345
P49452	-0.038	-0.184	-0.02	-0.0855
Q8BSI6	0.307	0.307	0.227	0.3565
