UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
Q9CYN2	-0.057	0.005	0.083	0.0305
Q5SW75-4	0.185	0.098	0.094	0.0595
Q9CPT4	0.309	0.307	0.428	0.4405
Q61029	-0.082	0.013	-0.044	0.0605
Q9D7X8	-0.152	-0.046	0	-0.0365
Q3TDD9	0.195	0.092	0.174	0.0825
P70295	0.048	-0.011	0.044	0.0225
A2AT37	0.013	-0.009	0.062	0.1445
Q61074	0.397	0.431	0.25	0.2855
Q9JHW4	-0.242	-0.199	-0.088	-0.1205
Q9CQ49	-0.164	-0.239	-0.048	-0.0625
Q8CI71	-0.131	0.04	-0.056	0.0625
P31786	-0.198	-0.021	-0.095	0.2005
Q8VHI3	-0.503	-0.299	-0.45	-0.2015
Q923G2	-0.088	-0.119	-0.155	-0.1555
Q8BZ05	0.025	0.074	0.028	-0.0025
P21460	-0.002	0.102	0.035	0.1025
Q9CZP5	0.1	-0.048	0.068	-0.1075
P35821	0.024	-0.035	-0.146	-0.0955
E9QAB6	0.071	0.063	0.071	0.0885
G5E8R4	0.152	0.125	0.18	0.1275
Q8BH69	0.174	0.208	0.121	0.2485
Q8BX09-2	0.186	0.006	0.099	0.0335
Q8K2J0	0.307	0.137	0.23	0.0595
Q99M71	0.185	0.203	0.126	0.1835
Q9JHL1	-0.138	0.108	-0.246	-0.0785
P62743	-0.051	-0.087	-0.092	-0.0915
Q6A026	-0.543	-0.236	-0.273	-0.0695
Q9WV54	0.299	0.295	0.23	0.2705
Q9JKB1	0.317	0.291	0.203	0.2485
P39429-2	0.203	0.041	0.042	-0.0565
Q9JIG8	0.341	0.284	0.209	0.1315
P15327	-0.427	-0.242	-0.419	-0.2295
Q922H2	-0.092	0.039	-0.212	-0.0175
Q9CQE1	-0.079	-0.187	-0.024	-0.1105
Q9QWV9	-0.189	-0.216	-0.152	-0.1675
Q8C0L0	0.5	0.536	0.319	0.4275
Q8R0Y8	0.25	0.106	0.149	0.1315
Q8CB44	-0.276	-0.148	-0.178	0.0025
B2KF50	-0.077	-0.03	-0.126	-0.0865
Q9DBR3	0.034	-0.045	0.025	-0.0185
O09131	0.031	0.045	0.08	0.0905
Q9Z0V7	0.131	0.117	0.122	0.0995
O70293-2	0.356	0.154	0.172	0.1185
Q3U487	0.051	0.024	0.03	-0.0095
Q8BKX6	-0.106	0.024	-0.029	0.1245
P58854	-0.045	-0.159	-0.062	-0.1185
Q80WJ7	0.16	0.338	-0.023	0.1835
P58137	0.132	0.138	0.084	0.0805
Q99LY9	-0.083	0.07	-0.053	0.0455
Q61151	-0.128	0	-0.073	-0.0415
P32020	0.008	0.094	-0.105	0.0665
P84309-2	0.088	0.092	0.097	0.1205
P21995	1.59	1.603	1.321	1.4525
Q9CY58	0.36	0.424	0.14	0.2605
Q99LC8	-0.048	-0.1	-0.069	-0.1265
Q8BSZ2	0.195	-0.061	0.208	-0.0785
P00375	-0.27	-0.12	0.04	0.0495
P11031	-0.15	0.001	-0.094	0.0675
Q8VDP3-3	-0.039	-0.043	0.057	0.0815
B1AUN2	-0.347	-0.303	-0.192	-0.2215
Q8BWM0	0.173	0.076	0.135	0.0385
Q9R0Q3	-0.31	-0.194	-0.334	-0.1225
E9QNZ2	0.222	0.118	0.279	0.1975
Q3V1L4	-0.077	-0.122	-0.021	-0.1215
Q07813	0.363	0.375	0.262	0.2975
Q2TBE6	0.038	-0.074	-0.052	-0.0895
P14576	-0.043	-0.003	0.102	0.1005
Q9CQR2	-0.14	0.008	-0.103	0.0335
Q3UR70	-0.308	-0.22	-0.207	-0.1905
Q69ZW3	-0.075	0.051	-0.127	-0.0465
A2AR56	0.23	0.133	0.191	0.0995
O35972	0.201	0.042	0.171	0.0385
Q9D071	0.184	0.048	0.117	-0.0045
Q69ZQ1	-0.115	0.058	-0.234	-0.0225
Q8C0Y0	0.003	-0.055	-0.193	-0.2135
P56960	0.039	-0.019	0.177	-0.0175
Q62348	-0.218	-0.112	-0.085	0.0165
P70280	-0.252	-0.21	-0.229	-0.1725
Q9DAI2	0.128	0.08	0.177	0.1925
Q5NCQ5	-1.006	-0.917	-0.785	-0.6865
Q91WM2	0.112	0.037	-0.014	-0.1075
