UniProt Accession
A0A061AE05
A0A075QQ08
A0A075TMP0
A0A075TRC0
A0A075TXZ1
A0A078CGE6
A0A087WPF7
A0A087X1C5
A0A096MJY4
A0A096MK47
A0A096P8D3
A0A0A7EPL0
A0A0B4J2F0
A0A0B4K7J2
A0A0B4KGY6
A0A0B7P3V8
A0A0D2UG83
A0A0E3T552
A0A0G2JTZ2
A0A0G2JUG7
A0A0G2JZ79
A0A0G2K047
A0A0G2K309
A0A0G2L7I0
A0A0G2QC33
A0A0H3PJK4
A0A0J9UVG7
A0A0K0MJN3
A0A0K3AUE4
A0A0K3AXH1
A0A0N7KJT8
A0A0P0X9Z7
A0A0R4I9Y1
A0A0R4IBK5
A0A0R4IKJ1
A0A0R4IVA4
A0A0R4IXF6
A0A0R4IY06
A0A0R4IZ84
A0A0S2UWC9
A0A140LI88
A0A140LIF8
A0A145P7T2
A0A163UT06
A0A178VEK7
A0A178WF56
A0A1B1WAJ0
A0A1D5NS60
A0A1D5PPP7
A0A1D5PRR9
A0A1D8EJF9
A0A1D9BZF0
A0A1E3P8S6
A0A1L8FDW4
A0A1L8G2K9
A0A1L8GSA2
A0A1L8HU22
A0A1L8HV70
A0A1P8ASY1
A0A1P8AUY4
A0A1U8F5V2
A0A1U8GR65
A0A1W2P872
A0A250YGJ5
A0A286Y9D1
A0A287B8J2
A0A291NUG3
A0A291NUI4
A0A291NUI5
A0A2J6L8Y7
A0A2K3D5Z7
A0A2K5TU92
A0A2K8FQU5
A0A2P1GIW2
A0A2P1GIW3
A0A2R8Q1W5
A0A2R8VHR8
A0A386CAB9
A0A396GMX6
A0A396IUP1
A0A3L7I2I8
A0A3Q2TTB3
A0A3Q7FGP1
A0A3Q7HRZ6
A0A3Q7I7R4
A0A445AGS0
A0A4X1UM84
A0A509AQ68
A0A5E4M3Q4
A0A5K7RLP0
A0A5S9MMK5
A0A8I3NFE2
A0A8I3PDQ1
A0A8I3S9V6
A0AAR7
A0AV96
A0AVK6
A0AVX7
A0FI79
A0FIN4
A0JLT2
A0JMQ9
A0JN54
A0JNB0
A0JNH9
A0JNK3
A0JNW5
A0JP82
A0JPF9
A0JPL0
A0JPN4
A0M8S6
A0MES8
A0MLS5
A0MTA1
A0P8Z5
A0PJY2
A0PK00
A0SVK0
A1A4I4
A1A4I9
A1A4K3
A1A4L1
A1A4Q9
A1A4R9
A1A4Y4
A1A519
A1A546
A1A5H8
A1A5Q5
A1BPI0
A1L167
A1L190
A1L1K8
A1L1N5
A1L2G3
A1L4K1
A1XBS5
A1XSY8
A1Y2K1
A1YER0
A1YES6
A1YF08
A1YFZ3
A1YG22
A1YKT1
A1Z198
A1Z1Q3
A1Z6E0
A1Z6S7
A1Z7A6
A1Z7A8
A1Z7K9
A1Z7T0
A1Z8D0
A1Z8P9
A1Z8R8
